,STATUS,SOC_NAME,POSITION_TYPE,WAGE,YEAR,REGION
110,CERTIFIED,Technical,Y,57283,2011, WEST
111,CERTIFIED,Technical,Y,51854,2011, SOUTH
112,CERTIFIED,Technical,Y,87277,2011, WEST
113,CERTIFIED,Technical,Y,95786,2011, WEST
114,CERTIFIED,Technical,Y,36480,2011, WEST
115,CERTIFIED,Technical,Y,134285,2011, WEST
116,CERTIFIED,Technical,Y,85572,2011, WEST
117,CERTIFIED,Technical,Y,89939,2011, NORTH EAST
118,CERTIFIED,Technical,Y,55952,2011, MID WEST
119,CERTIFIED,Technical,Y,62150,2011, SOUTH
120,CERTIFIED,Technical,Y,56326,2011, SOUTH
121,CERTIFIED,Technical,Y,49525,2011, SOUTH
122,DENIED,Technical,Y,35360,2011, SOUTH
123,CERTIFIED,Technical,Y,67122,2011, SOUTH
124,DENIED,Technical,Y,43110,2011, WEST
125,CERTIFIED,Technical,N,43305.6,2011, NORTH EAST
126,CERTIFIED,Technical,Y,67122,2011, SOUTH
127,CERTIFIED,Technical,Y,64938,2011, NORTH EAST
128,CERTIFIED,Technical,Y,50960,2011, SOUTH
129,CERTIFIED,Technical,Y,53061,2011, SOUTH
130,CERTIFIED,Technical,Y,76690,2011, MID WEST
131,DENIED,Technical,Y,34080,2011, SOUTH
132,CERTIFIED,Technical,Y,85530,2011, NORTH EAST
133,CERTIFIED,Technical,Y,43202,2011, SOUTH
134,CERTIFIED,Technical,Y,50128,2011, MID WEST
135,CERTIFIED,Technical,Y,49525,2011, SOUTH
136,CERTIFIED,Technical,Y,43202,2011, SOUTH
137,CERTIFIED,Technical,Y,58906,2011, NORTH EAST
138,CERTIFIED,Technical,Y,152402,2011, NORTH EAST
139,DENIED,Technical,Y,26395.2,2011, NA
140,CERTIFIED,Technical,Y,57761.6,2011, MID WEST
141,DENIED,Technical,Y,71989,2011, NA
142,DENIED,Technical,Y,56056,2011, SOUTH
143,CERTIFIED,Technical,Y,108139,2011,SOUTH
144,CERTIFIED,Technical,Y,59738,2011, WEST
145,CERTIFIED,Technical,Y,89232,2011, WEST
146,CERTIFIED,Technical,Y,55245,2011, WEST
147,CERTIFIED,Technical,Y,58053,2011, NORTH EAST
148,DENIED,Technical,N,43305.6,2011, NORTH EAST
149,CERTIFIED,Technical,N,32739.2,2011, NORTH EAST
150,CERTIFIED,Technical,Y,69389,2011, WEST
151,CERTIFIED,Technical,Y,48984,2011, NORTH EAST
152,CERTIFIED,Technical,Y,43368,2011, SOUTH
153,CERTIFIED,Technical,Y,36296,2011, NORTH EAST
154,CERTIFIED,Technical,Y,63274,2011, MID WEST
155,CERTIFIED,Technical,Y,90875.2,2011, SOUTH
156,CERTIFIED,Technical,Y,27082,2011, SOUTH
157,CERTIFIED,Technical,Y,51667,2011, NORTH EAST
158,CERTIFIED,Technical,Y,42307,2011, NORTH EAST
159,CERTIFIED,Technical,Y,52374,2011, WEST
160,CERTIFIED,Technical,Y,59218,2011, SOUTH
161,CERTIFIED,Technical,Y,64833.6,2011, MID WEST
162,CERTIFIED,Technical,Y,79102,2011, WEST
163,CERTIFIED,Technical,Y,37743,2011, WEST
164,DENIED,Technical,Y,51563,2011, MID WEST
165,CERTIFIED,Technical,Y,33093,2011, WEST
166,CERTIFIED,Technical,Y,83803.2,2011, WEST
167,CERTIFIED,Technical,Y,42931,2011, SOUTH
168,CERTIFIED,Technical,Y,78957,2011, SOUTH
169,CERTIFIED,Technical,Y,50752,2011, NORTH EAST
170,CERTIFIED,Technical,Y,89710,2011, SOUTH
171,DENIED,Technical,N,54724.8,2011, WEST
172,CERTIFIED,Technical,Y,45656,2011, NORTH EAST
173,CERTIFIED,Technical,Y,52562,2011, WEST
174,CERTIFIED,Technical,Y,91936,2011, WEST
175,CERTIFIED,Technical,Y,83803.2,2011, WEST
176,CERTIFIED,Technical,Y,70699,2011, SOUTH
177,CERTIFIED,Technical,Y,83803.2,2011, WEST
178,CERTIFIED,Technical,Y,54912,2011, WEST
179,CERTIFIED,Technical,Y,38314,2011, NORTH EAST
180,CERTIFIED,Technical,Y,124051,2011, WEST
181,CERTIFIED,Technical,Y,77210,2011, WEST
182,CERTIFIED,Technical,Y,67184,2011, SOUTH
183,CERTIFIED,Technical,Y,40498,2011, WEST
184,CERTIFIED,Technical,Y,58531,2011, NORTH EAST
185,CERTIFIED,Technical,Y,142875,2011, WEST
186,CERTIFIED,Technical,Y,25293,2011, NORTH EAST
187,CERTIFIED,Technical,Y,72197,2011, WEST
188,CERTIFIED,Technical,Y,39166,2011, MID WEST
189,CERTIFIED,Technical,Y,101899,2011, WEST
190,CERTIFIED,Technical,Y,66144,2011, WEST
191,CERTIFIED,Technical,Y,64480,2011, MID WEST
192,CERTIFIED,Technical,Y,46488,2011, SOUTH
193,CERTIFIED,Technical,Y,80059,2011, SOUTH
194,DENIED,Technical,Y,71947.2,2011, WEST
195,CERTIFIED,Technical,Y,64418,2011, WEST
196,DENIED,Technical,N,56201.6,2011, WEST
197,CERTIFIED,Technical,Y,71323,2011, SOUTH
198,CERTIFIED,Technical,Y,78457.6,2011, WEST
199,DENIED,Technical,Y,32947.2,2011, NA
200,DENIED,Technical,Y,41496,2011, NA
201,CERTIFIED,Technical,Y,57387,2011, MID WEST
202,CERTIFIED,Technical,Y,71718,2011, WEST
203,CERTIFIED,Technical,Y,63274,2011, MID WEST
204,CERTIFIED,Technical,Y,44616,2011, NORTH EAST
205,CERTIFIED,Technical,Y,48027,2011, NORTH EAST
206,CERTIFIED,Technical,N,53497.6,2011, NORTH EAST
207,CERTIFIED,Technical,Y,35984,2011, NORTH EAST
208,CERTIFIED,Technical,Y,61256,2011, MID WEST
209,DENIED,Technical,Y,42390,2011, SOUTH
210,DENIED,Technical,Y,29161.6,2011, NA
211,CERTIFIED,Technical,N,47070.4,2011, NORTH EAST
212,CERTIFIED,Technical,Y,113443,2011, WEST
213,CERTIFIED,Technical,N,62712,2011, WEST
214,CERTIFIED,Technical,Y,155106,2011, NORTH EAST
215,CERTIFIED,Technical,Y,43118,2011, NORTH EAST
216,CERTIFIED,Technical,Y,40830,2011, NORTH EAST
217,CERTIFIED,Technical,Y,56118,2011, WEST
218,CERTIFIED,Technical,Y,74277,2011, SOUTH
219,CERTIFIED,Technical,Y,69451,2011, NORTH EAST
220,CERTIFIED,Technical,Y,54766,2011, SOUTH
221,CERTIFIED,Technical,Y,36587,2011, SOUTH
222,CERTIFIED,Technical,Y,47029,2011, NORTH EAST
223,DENIED,Non-Technical,Y,62462,2011, NORTH EAST
224,CERTIFIED,Technical,N,29078.4,2011, WEST
225,CERTIFIED,Technical,Y,63877,2011, MID WEST
226,CERTIFIED,Technical,Y,49504,2011, NORTH EAST
227,CERTIFIED,Technical,Y,51854,2011, SOUTH
228,CERTIFIED,Technical,Y,46488,2011, SOUTH
229,CERTIFIED,Technical,Y,51854,2011, SOUTH
230,CERTIFIED,Technical,Y,46259,2011, NORTH EAST
